Mission;Client;Business Unit;Division;Description;Type Mission;Responsable;Manager;Associé
"Assistance fiscale";"SOCIETE ANONYME DES BOISSONS DU CAMEROUN";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance fiscale";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Gestion de la paie des Expatriés";"SOCIETE ANONYME DES BOISSONS DU CAMEROUN";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Gestion de la paie des Expatriés";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Participation au séminaire de la loi de finances 2025";"SOCIETE ANONYME DES BOISSONS DU CAMEROUN";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à régularisation des opérations d'importation des logiciels, cartes et chequiers";"SOCIETE COMMERCIALE DE BANQUE CAMEROUN S.A";"EB-DOUANE";"EB-DOUANE";"Mission migrée (FY25) - Assistance à régularisation des opérations d'importation des logiciels, cartes et chequiers";"PREVIOUS ENGAGEMENT";"Séraphin Doumbe";"Samson Bilangna";"Samson Bilangna"
"Participation au séminaire de la loi de finances 2025";"SOCIETE GENERAL CAMEROUN";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Participation au séminaire de la loi de finances 2025";"TELCAR COCOA LIMITED";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Participation au séminaire de la loi de finances 2025";"TOTALENERGIES MARKETING CAMEROUN S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à contrôle douanier à postériori";"TRACTAFRIC EQUIPMENT CAMEROUN";"EB-DOUANE";"EB-DOUANE";"Mission migrée (FY25) - Assistance à contrôle douanier à postériori";"PREVIOUS ENGAGEMENT";"Séraphin Doumbe";"Samson Bilangna";"Samson Bilangna"
"Assistance à contrôle et contentieux douaniers";"TRACTAFRIC EQUIPMENT CAMEROUN";"EB-DOUANE";"EB-DOUANE";"Mission migrée (FY25) - Assistance à contrôle et contentieux douaniers";"PREVIOUS ENGAGEMENT";"Séraphin Doumbe";"Samson Bilangna";"Samson Bilangna"
"Participation au séminaire de la loi de finances 2025";"TRACTAFRIC EQUIPMENT CAMEROUN";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à rédaction des actes juridiques";"TSG CAMEROUN S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à rédaction des actes juridiques";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à secrétariat juridique";"TSG CAMEROUN S.A";"EB-TAX&LAW";"Global Legal";"Mission migrée (FY25) - Assistance à secrétariat juridique";"PREVIOUS ENGAGEMENT";"Grégoire Ododi";"Alvine Oum";"Emile Bitoungui"
"Assistance juridique";"WEBB FONTAINE GROUP";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance juridique";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
