RAISON_SOCIALE;SIGLE;NIU;ACTIVITE_PRINCIPALE;VENTE_BOISSON;REGIME;BOITE_POSTALE;TELEPHONE;FORME_JURIDIQUE;CRI;CENTRE_DE_RATTACHEMENT;REGION_ADMINISTRATIVE;DEPARTEMENT;VILLE;COMMUNE;QUARTIER;LIEUX_DIT;ETATNIU;IDCLASSE_ACTIVITE
Ecole Specialisee pour Enfants Deficients Auditifs;ESEDA;M128300017453Z;Enseignement et formation;NON;HRI;370;77 75 99 26;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;Route Croix Rouge au fond;Bon NIU;040000
Ecole superieure des sciences de l information et de la communication;ESSTIC;M098200023291P;Enseignement et formation;NON;HRI;1328;222 20 80 37;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;Mfoundi;YAOUNDE;YAOUNDE 3;Ngoa ekellé;Campus universitaire;Bon NIU;040000
Elections Cameroon;ELECAM;M120812268168G;Gestion des élections;NON;HRI;13 506;22 21 25 46      97 46 36 74;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;ELECAM;Bon NIU;039001
Electricity Development Corporation;EDC;M110600025048Z;Développement de l'électricité;NON;HRI;15 111;22 23 19 30               22 23 10 89                97 01 47 25            77 06 11 37;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Hippodrome;Immeuble Banque Atlantique 4 et 5 étage;Bon NIU;038006
Electricity for Rural Development;ERD-RUMPI;M120700039004X;Dévelloppement du Secteur de l'Energie;NON;HRI;30704;22 20 39 82;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Carrefour Bastos;Bon NIU;039001
Fonds Commun PSFE MINFOF;PSFE;M011112404306Z;Appui au Developpement;NON;HRI;34320;6 99 98 97 47;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Centre Administratif;Imprimerie Nationale;Bon NIU;041002
Fonds de Dévelopement des Filières Cacao Café;FODECC;M090600023259E;Développement du Secteur Cacao Café;NON;HRI;2067;699913444;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Golf;vers peace corps;Bon NIU;001012
Fonds de Developpement du Secteur Postal;FDSP;M050412401609X;Regulation du secteur postal;NON;HRI;187;699 70 94 30;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre administratif;MINPOSTEL;Bon NIU;039001
Fonds National de l’Emploi;FNE;M049000009195S;Promotion de l'emploi;NON;HRI;10 079;22 23 00 62                22 22 51 81                         77 18 74 91                    99 41;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Fouda;Total Fouda;Bon NIU;039001
Fonds Routier;FR;M089800009042G;Entretien routier;NON;HRI;6 221;22 23 77 82               22 22 47 52               75 77 07 55                          75 77 07 50;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Poste centrale;16 Étage SNI;Bon NIU;039001
Fonds Special Act Securite Electronique;FSASE;M061212378491C;Telecommunication;NON;HRI;187;699 61 65 62;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Centre administratif;MINPOSTEL;Bon NIU;035004
Fonds Spécial d’Equipement et d’Intervention Intercommunal;FEICOM;M127400008134G;Assistance aux communes;NON;HRI;718;22 22 07 67           99 07 74 84                   99 62 59 23;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Mimboman;FEICOM;Bon NIU;039001
Foyer Genie Militaire;FGM;M111211435072Z;Vente BH;NON;HRI;1826;677 31 81 37;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Quartier General;Génie Militaire;Bon NIU;033002
Hôpital Central de Yaoundé;HCY;M013900008010R;Soins médicaux;NON;HRI;87;99 28 87 68               22 23 20 89;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;Hôpital central;Bon NIU;041001
Hôpital Général  Yaoundé;HGY;M128700000480U;Soins médicaux;NON;HRI;5 408;77 98 75 90               22 21 20 18;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Ngousso;Hôpital Général;Bon NIU;041001
Hôpital Gynéco-Obstétrique et Pédiatrique de Yaoundé;HGOPY;M090100015051L;Soins médicaux;NON;HRI;4 362;96 44 87 27            22 21 24 30;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Ngousso;Hôpital Gyneco;Bon NIU;041001
Hôpital JAMOT de Yaoundé;HJY;M018900021017K;Soins médicaux;NON;HRI;4021;77 59 28 47               22 20 43 90;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Mballa 2;Hôpital Jamot;Bon NIU;041001
HÔTEL DES DEPUTES;HÔTEL DES DEPUTES;M109000002816J;Hôtellerie et restauration;NON;HRI;24;22 22 46 80               99 56 59 96                      99 89 03 47;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Centre administratif;Hôtel des Députés;Bon NIU;033001
ICIDR/HIRE MALARIA PROJECT;ICIDR/HIRE MALARIA PROJECT;M090300019240F;Santé Publique;NON;HRI;3851;699 28 87 68;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 7;Nkolbisson;Carrefour IRAD;Bon NIU;041001
Imprimerie Nationale;IN;M011600000160C;Impression et Edition;NON;HRI;1 354;22 14 60 69                99 90 67 92;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Quartier du Lac;MINATD;Bon NIU;018002
Institut Africain d informatique representation du Cameroun;IAI;M099900011552N;Enseignement et formation;NON;HRI;13 719;222 20 80 37;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;Mefou et Afamba;YAOUNDE;Nkol Afamba;Nkol anga'a;IAI;Bon NIU;040000
Institut de Formation et de Recherche Demographiques;IFORD;M127100014301G;Recherche;NON;HRI;20 818;6777596 25;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;Mfoundi;YAOUNDE;YAOUNDE 1;Tribunal de prémière instance du centre ville;IFORD;Bon NIU;040000
Institut de Recherche Agronomique et de Développement;IRAD;M039600012291C;Recherche;NON;HRI;2067;99 91 34 44                  75 35 00 00                 77 40 92 80;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 7;Nkolbisson;IRAD;Bon NIU;038006
Institut de Recherche Géologiques et Minières;IRGM;M108000014422B;Recherche;NON;HRI;4  110;22 22 34 30           22 22 24 31                   94 33 23 66;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Elig-Essono;Face BEAC Centrale;Bon NIU;038006
Institut de Recherche pour le Developpement;IRD;M028400013494A;Recherche pour le Developpement;NON;HRI;1857;22 20 15 08;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Etoa-Meki;Protocole BAR;Bon NIU;038003
Institut de Recherches Médicales et d'Etudes des Plantes Médicinales;IMPM;M107400029107B;Recherche médicale;NON;HRI;8013;77 70 88 88              75 97 07 59            94 92 45 35;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Ngoa-Ekelle;A côté INJS;Bon NIU;041001
Institut des Relations Internationales du Cameroun;IRIC;M047100019235Q;Enseignement et formation;NON;HRI;1 637;99 34 05 11                  22 31 03 05;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 6;Obili;Après carrefour Obili;Bon NIU;040000
Institut International d Agriculture Tropical;IITA;M058900011508M;Enseignement et formation;NON;HRI;2008;99 88 07 81;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 7;NKOLBISSON;Vers la Mairie Ydé 7;Bon NIU;040000
Institut National de la Cartographie;INC;M039200013843C;Recherche;NON;HRI;157;22 22 29 21                76 24 82 05              77 20 12 06            22 22 29 21;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Elig-Essono;Face BEAC Centrale;Bon NIU;038006
Institut National de la Jeunesse et des Sports;INJS;M059100007840Z;Enseignement et formation;NON;HRI;1 016;22 22 35 46;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Ngoa-Ekelle;Face éntrée campus universitaire;Bon NIU;040000
Institut National de la Statistique;INS;M040100028816Q;Collecte des données statistiques;NON;HRI;134;22 22 04 45                   22 23 24 37               77 62 66 05                99 69 07 37;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;rond point MINFI;Bon NIU;038006
Institut Panafricain pour le Développement;IPD-SG;M101212117859E;Formation-Appui - Conseil-Recherhe;NON;HRI;35 527;22 20 82 35               75 33 25 87            95 92 72 81           98 08 14 70;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;nvelle route Bastos Action-Faim;Bon NIU;040000
Institut Sous Regional Statistique;ISSEA;M128400009706D;Enseignement et formation;NON;HRI;294;222229521;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;MESSA;Route Croix-rouge au fond;Bon NIU;040000
Institut Supérieur de Management Public;ISMP;M039500000520X;Enseignement et formation;NON;HRI;1 280;99 82 08 03          22 20 46 36           22 21 13 37;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Vers Ambassade Turquie;Bon NIU;040000
Institut Tropical Suisse;ITS;M080500019003X;Enseignement et formation;NON;HRI;15665;673 82 84 95;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;Hygiène mobile;Bon NIU;040000
Laboratoire National de Contrôle, de Qualité des Médicaments et d’Expertise;LANACOME;M039600015394G;Laboratoire de contrôle;NON;HRI;12 216;78 65 65 44             22 23 06 60           22 19 40 03;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;Hygiène mobile;Bon NIU;038006
Laboratoire National de Génie Civil;LABOGENIE;M078000004946J;Etudes et Contrôle Géotechnique;NON;HRI;349;22 30 30 06;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 4;Ekounou;Ancienne Texaco Ekounou;Bon NIU;038006
MALARIA NO MORE;MALARIA NO MORE;M060900042519W;LUTTE CONTRE LE PALUDISME;NON;HRI;113;222 22 95 52      678 87 30 75;op;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Elig-Essono;immeuble blanc;Bon NIU;041001
MEKIN Hydroelectric Development Corporation;HM;M101000037263Y;Production, distribution, vente de l'électricité;NON;HRI;13 155;74 98 27 00                   79 77 00 84           99 95 61 88;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Etoa-Meki;A côté immeuble siège Express  Union;Bon NIU;029001
Mission d’Aménagement et de Gestion  des Zones Industrielles;MAGZI;M037100006214Q;Aménagement et Gestion  des Zones Industrielles;NON;HRI;1 431;22 31 84 40                           77 18 38 15;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 4;Mvan;Après Agence Finex Voyages;Bon NIU;031001
Mission d'Aménagement et d'Equipement des Terrains Urbains et ruraux;MAETUR;M067700006352M;Mission d'Aménagement et Gestion des Terrains Urbains et Ruraux;NON;HRI;1 248;96 16 31 92                 71 02 05 64;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Hippodrome;Derrière route immeuble EDC;Bon NIU;031001
Mission de Promotion des Matériaux Locaux;MIPROMALO;M099000019448E;Promotion de matériaux locaux;NON;HRI;2 396;22 22 94 45               22 02 94 45               75 84 92 46;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 7;Nkolbikok;A côté MATGENIE;Bon NIU;039001
Mission de Régulation et d’Approvisionnement des Produits de Grande Consommation;MIRAP;M021100044361U;Régulation des approvisionnements des produits de grande consommation;NON;HRI;12 584;77 77 77 55           22 23 41 45;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Elig-Essono;Après la Sanza Night club;Bon NIU;039001
Observatoire National de la Santé Publique;ONSP;M111000046595X;Santé Publique;NON;HRI;12 304;75 42 28 66               99 90 99 28                         96 56 17 56;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Mballa 2;Avant Hôpital Jamot;Bon NIU;041001
Observatoire National de l'Emploi et de la Formation Professionnelle;ONEFOP;M020212480430T;Formation Professionnelle;NON;HRI;151;22 21 12 90;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Fouda;vers Mansel Hôtel;Bon NIU;040000
Observatoire National du Travail;ONT;M101000042106C;Contrôle du Travail;NON;HRI;1734;97 63 04 19           22 22 93 13;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre administratif;Porte 201 ministère du travail;Bon NIU;039001
Office du Baccalauréat du Cameroun;OBC;M099300007184H;Gestion des examens;NON;HRI;13 904;22 30 55 66            22 30 55 67;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 4;Mvan;OBC;Bon NIU;039001
Office National des Anciens Combattants, Anciens Militaires et Victimes de Guerre du Cameroun;ONACAM;M070100017450F;Prise en charge des anciens combattants, anciens militaires et victime de guerre;NON;HRI;4108;22 21 50 58;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;Derrière Maison de la Radio;Bon NIU;039001
PALAIS DES CONGRES;PALAIS DES CONGRES;M128200000039C;Evénementiel et location des salles;NON;HRI;5459;22 21 27 40                77 70 67 84;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Tsinga;Palais de Congrès;Bon NIU;032014
Palais Polyvalent des Sports;PAPOSY;M060912312733P;Activites Sportives et Culturelle;NON;HRI;1982;222 21 27 40;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;wARDA;Palais de Sports;Bon NIU;042002
Parc National de Matériel de Génie Civil;MATGENIE;M016800000042Z;Location des engins;NON;HRI;2 063;99 77 54 48              22 22 31 10;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 7;Nkolbikok;Après Pharmacie des sept collines;Bon NIU;038006
Plan International Cameroun;PLIC;M099600009248R;DEVELOPPEMENT;NON;HRI;25236;222215458;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Derrière ancien BAT au fond;Bon NIU;041002
Premiere Urgence Aide Medicale Internationale;PU-AMI;M069200033349J;Sante;NON;HRI;20427;696 09 10 97;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Dragage;Vers Ecole Publique;Bon NIU;041001
Programme Communal de Pavage des Routes Agricoles;PCPRA;M071312197616N;Agriculture;NON;HRI;15308;677 75 19 31               222 22 11 19;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre Ville;Batiment annexe MINADER;Bon NIU;001011
Programme d accompagnement socio-economique de MEMVE ELE;PASEM;M061512466224S;Accompagnement socio eco des populations;NON;HRI;1734;694 91 14 14;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Omnisport;Derrière le BUCREP;Bon NIU;041002
Programme d Appui aux PME Agricoles et Agroalimentaire;PMEAA;M061512378496R;Agriculture;NON;HRI;15308;677 75 19 31;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Essos;Camp SONEL;Bon NIU;001011
Programme d’Amélioration de la Compétitivité des Exploitations Familiales Agricoles;ACEFA;M090700025373B;Agriculture;NON;HRI;4081;22 20 36 48                  22 20 36 49;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Carrefour Bastos;Bon NIU;001011
Programme d’Amélioration de la Productivité Agricole;PAPA;M021100040404J;Agriculture;NON;HRI;2920;75 24 95 86             99 67 56 61;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre administratif;Eglise Orthodoxe;Bon NIU;001011
Programme d’Appui à la Création et au Développement des PME de Transformation et de Conservation des Produits Locaux de Masse;PACD/PME;M021100047030U;Appui à la création et au Développement des PME;NON;HRI;12986;77 60 16 80;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Vers Ambassade Suisse;Bon NIU;038001
Programme d'Appui à la Composante Technologique et Professionnelle de l'Enseignement Supérieur;PRO-ACTP;M120700033246Z;Appui à l'enseignement Supérieur;NON;HRI;1734;93 00 00 26;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;Rez de chaussée MINESUP;Bon NIU;038001
Programme d'Appui à la Réforme des Finances Publiques;PARFIP;M121000038429F;Aide au Développement;NON;HRI;847;22 23 05 89                 99 99 77 07              22 23 36 37           99 59 70 03;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;descente vallée Bastos;Bon NIU;041002
Programme d'Appui à la Rénovation et au Développement de la Formation Professionnelle dans les Secteurs de l'Agriculture, de l'Elevage et des Pêches;C2D/ AFOP;M090700025130S;DEVELOPPEMENT FORMATION PROFESSIONNELLE;NON;HRI;33 839;22 20 36 54             22 20 36 55;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;A côté commissariat Bastos;Bon NIU;040000
Programme d'Appui à l'Utilisation des Engrais dans les filières Cacao et Café;PAUEF2C;M061100037609M;UTILISATION ENGRAIS CAFE CACAO;NON;HRI;2920;677 75 19 31;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Tropicana;Ezazou village;Bon NIU;001012
Programme de Développement des Palmeraies Villageoises;PDPV;M040300023785Z;Accroissement de la Culture du palmier à Huile;NON;HRI;2067;699 83 52 41;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Essos;Camp Sonel;Bon NIU;001004
programme de Developpement et de Valorisation des Racines, Tubercules, Plantin;PDVRTP;M031312284029P;Agriculture;NON;HRI;15308;699 29 56 20;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 7;Nkolbisson;Brigade de Gendarmerie;Bon NIU;001011
Programme de Promotion de l Entreprenariat Agropastoral;PEAJ;M011412315254T;Soutien au Developpement;NON;HRI;151;690 03 31 79;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;route opposée Ambassade Suisse;Bon NIU;002009
Programme de Valorisation des Bas Fonds;PVBF;M040312248591J;Agriculture;NON;HRI;15308;699 82 98 02            671 00 77 18;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Essos;Avant Chapelle Catholique St Jean Evangeliste;Bon NIU;001011
Programme Economique d'Aménagement du Territoire pour la Promotion des Entreprises Moyennes et de Grande Importance dans le Secteur Rural au Cameroun;AGROPOLES;M111200046870J;Appui et Suivi dans le Cadre de l'Aménagement du Territoire;NON;HRI;33839;22 23 44 97                22 11 77 50                   99 90 04 40;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Omnisport;avant SONECO;Bon NIU;041002
Programme Elargi de Vaccination;PEV;M080400036580Y;Vaccination;NON;HRI;12304;77 74 61 85;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;Hygiène mobile;Bon NIU;041001
Programme National de Développement Participatif;PNDP;M010400023570C;Développement des Activités de la Jeunesse;NON;HRI;5459;99 49 88 34;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;route opposée Ambassade Suisse;Bon NIU;041002
Programme National de la Sécurité Alimentaire;PNSA;M010900046872S;Lutte Contre l'insécurité Alimentaire;NON;HRI;2920;22 22 41 06                99 53 81 43                     75 30 01 02;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre administratif;Derrière MINADER;Bon NIU;041002
Programme National de Lutte contre la Tuberculose;PNLT;M070200022953H;Santé Publique;NON;HRI;1982;677 77 77 55;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Mballa 2;Avant Hôpital Jamot;Bon NIU;041001
Programme National de Lutte contre le Paludisme;PNLP;M070200043776H;Prévention du paludisme;NON;HRI;645;75 61 39 42;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;route croix rouge;Bon NIU;041001
Programme National de Sécurisation et de Réhabilitation du Lac Nyos;LAC NYOS;M121112174938T;Dégazage,Aménagement du Périmètre de Sécurité,Développement des Infrastructures;NON;HRI;13799;77 06 68 61   22 21 46 06;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Etoa-Meki;route opposée au CIME;Bon NIU;039001
Programme National de Vulgarisation et de Recherche Agricoles;PNVRA;M129800046737Y;Vulgarisation et Recherche Agricole;NON;HRI;2920;22 31 84 17;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 6;Etoug-Ebe;Vers le Centre des Handicapées;Bon NIU;001012
Programme Pionnier;PP;M061000048309Q;Agriculture;NON;HRI;35 356;77 55 15 56           22 23 24 89;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Fouda;A côté de la Total;Bon NIU;001011
Programme Sectoriel Foret Environnement;PSFE;M019912480470W;Protection de l'environnement;NON;HRI;15308;677 93 39 38     699 98 97 47;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;Vers onacam;Bon NIU;041001
Programme Supérieur de Spécialisation en Finances Publiques;PSSFP;M101312104123L;Finances Publiques;NON;HRI;16578;677 80 26 03;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Camp SIC Messa;immeuble de la solidarité MUTRESOR;Bon NIU;040000
Projet - CDC/PEP FAR/MOU/DFA                  -CRC;CRESP;M091100041905F;Santé Publique;NON;HRI;1982;91 96 25 15;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;Hygiène mobile;Bon NIU;041001
Projet  d Amenagement en eau potable de Yaounde et ses environs a partir du fleuve SANAGA;PAEPYS;M061112337836M;Appui au Developpement;NON;HRI;35541;677 06 68 61;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Carrefour Bastos;Bon NIU;041002
Projet 166 localites;P 166;M021512466218M;Electrification solaire;NON;HRI;;677 23 43 72;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE;omnisport;derriere le stade;Bon NIU;029001
Projet Compétitivité des Filières de Croissance;PCFC;M011412404328P;Transformation du bois;NON;HRI;10 030;22 23 37 59             697 78 20 05      79 53 09 78;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;derriere usine Bastos;Bon NIU;038006
Projet d Amelioration de la Productivite et de la Competitivite de la Filiere Palmier a huile en Afrique Centrale et de l Ouest;APROCOM PA;M120912404324F;Promotion  culture palmier a huile;NON;HRI;2920;242 74 80 34;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Immeuble ONUDI;Bon NIU;001012
Projet d Amenagement Hydroelectrique de Bini a Warak;PAHB;M121412483881J;Appui au Développement;NON;HRI;1734;699631252;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Poste Centrale;Immeuble de l'emergence;Bon NIU;041002
Projet d appui a la Scolarisation dans les zones  d Education Prioritaires;PASZEP;M061412327188Z;Aide au Développement;NON;HRI;1600;6 99 77 58 53;OM;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Hyppodrome;derrière immeuble EDC;Bon NIU;041002
Projet d appui au renforcement des capacites nationalea en suivi et evaluation des politiques publiquesdans le domaine du respect de la politque au cameroun;EIDHR;M121512495518Q;Defenses des droits de l homme et des libertes Publiques;NON;HRI;13 488;674 533 187;OM;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;OLEZOA;Après Prestige Hôtel;Bon NIU;039001
Projet d’Alimentation en Eau Potable dans 07 Centres Secondaires;PAEPO7C;M041200046871F;Alimentation en eau Potable;NON;HRI;151;22 23 52 75             78 05 52 27;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Mokolo;Montée NIKI;Bon NIU;030001
Projet d’Alimentation en Eau Potable et d’Assainissement en Milieu Rural;PAEPA-MRU;M081000040797T;Appui au Développement;NON;HRI;70;95 47 79 95;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;Hygiène mobile;Bon NIU;041002
