"#","Nom","Sigle","Secteur","Pays","Administrateur","Actions"
"274","AUTORITE PORTUAIRE NATIONALE","APN","Government & public sector","Cameroun","Louis EBOUBEKE",""
"275","AGENCE DE SERVICE CIVIQUE NATIONAL DE PARTICIPATION AU DEVELOPPEMEN","ASCNPD","Government & public sector","Cameroun","",""
"276","BUREAU NATIONAL DE L'ETAT CIVIL","BUNEC","Government & public sector","Cameroun","Abdoulaye ADJIALI BOUKAR",""
"277","CAISSE AUTONOME D'AMORTISSEMENT","CAA","Government & public sector","Cameroun","Richard EVINA OBAM",""
"278","CAMEROON POSTAL SERVICES","CAMPOST","Government & public sector","Cameroun","Pierre KALDADAK",""
"279","SOCIETE NATIONALE DE TRANSPORT ET DE TRANSIT DU CAMEROUN","CAMTAINER","Government & public sector","Cameroun","Peters EKOLLE",""
"280","CAISSE DE DEVELOPPEMENT DE L'ELEVAGE DU NORD-OUEST","CDENO","Government & public sector","Cameroun","Michael MBAH SHUPONG",""
"281","CENTRE HOSPITALIER DE RECHERCHE ET 'APPLICATION EN CHIRURGIE ENDOSCOPIQUE ET DE  REPRODUCTION HUMANE","CHRACERH","Infrastructure,  Healthcare","Cameroun","Jean Marie KASIA",""
"282","CENTRE HOSPITALIER DE RECHERCHE ET 'APPLICATION EN CHIRURGIE ENDOSCOPIQUE ET DE  REPRODUCTION HUMANE","CHRACERH","Infrastructure,  Healthcare","Cameroun","Jean Marie KASIA",""
"283","CENTRE HOSPITALIER UNIVERSITAIRE","CHU","Infrastructure,  Healthcare","Cameroun","ESSOMBA Arthur Georges Alfred",""
"284","CAMEROUN PUBLI-EXPANSION","CPE","Miscellaneous","Cameroun","Amadou BELLO",""
"285","ECOLE INTERNATIONALE DES FORCES DE SECURITE","EIFORCES","Miscellaneous","Cameroun","BITOTE André Patrice",""
"286","ECOLE NATIONALE 'ADMINISTRATION ET DE MAGISTRATURE","ENAM","Government & public sector","Cameroun","Bertrand Pierre SOUMBOU ANGOULA",""
"287","ECOLE NATIONALE SUPERIEURE DES TRAVAUX PUBLICS","ENSTP","Government & public sector","Cameroun","George ELAMBO NKENG",""
"288","FONDS ROUTIER","FR","Government & public sector","Cameroun","Samuel NENGUE",""
"289","HOPITAL GYNECO-OBSTETRIQUE ET PEDIATRIQUE DE DOUALA","HGOPD","Infrastructure,  Healthcare","Cameroun","Emille Télesphore MBOUDOU",""
"290","HOPITAL GYNECO-OBSTETRIQUE ET PEDIATRIQUE DE YAOUNDE","HGOPY","Infrastructure,  Healthcare","Cameroun","Robison ENOW MBU",""
"291","MEKIN HYDROELECTRIC DEVELOPMENT CORPORATION","HYDROMEKIN","ENR - Power & Utilities","Cameroun","Frédéric BIYA MOTTO",""
"292","INSTITUT NATIONAL DE CARTOGRAPHIE","INC","Government & public sector","Cameroun","Martin ELIMBI",""
"293","INSTITUT NATIONAL DE LA JEUNESSE ET SPORT","INJS","Government & public sector","Cameroun","Edmond EBAL MINYE",""
"294","INSTITUT DE RECHERCHE MEDICALE ET D’ETUDES DES PLANTES MEDECINALES","IRMPM","Government & public sector","Cameroun","Jean Louis ESSAME OYONO",""
"295","INSTITUT SUPERIEUR DE MANAGEMENT PUBLIC","ISMP","Government & public sector","Cameroun","Edward MESIME MOKWE",""
"296","LABORATOIRE NATIONAL VETERINAIRE","LANAVET","Infrastructure,  Healthcare","Cameroun","Abel WADE",""
"297","MISSION DE REGULATION ET D’APPROVISIONNEMENT DES PRODUITS DE GRANDE  CONSOMMATION","MIRAP","Miscellaneous","Cameroun","Cyprien BAMZOK NTOL",""
"298","MISSION DE REGULATION ET D’APPROVISIONNEMENT DES PRODUITS DE GRANDE  CONSOMMATION","MIRAP","Miscellaneous","Cameroun","Cyprien BAMZOK NTOL",""
"299","r christol Georges MANONMISSION D’AMENAGEMENT ET DE GESTION DES ZONES INDUSTRIELLES","MAGZI","Miscellaneous","Cameroun","christol Georges MANON",""
"300","PARC NATIONAL DE MATERIEL DE GENIE CIVIL","MATGENIE","Government & public sector","Cameroun","Gustave EBONGUE",""
"301","MISSION D'ETUDES POUR L'AMENAGEMENT DU NORD","MEADEN","Miscellaneous","Cameroun","ABDOULAY SERNO",""
"302","MISSION D’ETUDES POUR L’AMENAGEMENT DE L’OCEAN","MEAO","Government & public sector","Cameroun","Hubert MBAMBA BONDIMA",""
"303","MISSION DE DEVELOPPEMENT INTEGRE DES MONTS MANDARA","MIDIMA","Government & public sector","Cameroun","TCHARI BOULAMA",""
"304","MISSION DE DEVELOPPEMENT DE LA PÊCHE ARTISANALE ET MARITIME","MIDEPECAM","Government & public sector","Cameroun","SAMMY AKO TAMBI",""
"305","MISSION DE DEVELOPPEMENT INTEGRE DES MONTS MANDARA","MIDIMA","Government & public sector","Cameroun","TCHARI BOULAMA",""
"306","MISSION DE PROMOTION DES MATERIAUX LOCAUX (","MIPROMALO","Government & public sector","Cameroun","LIKIBY ABOUBAKAR",""
"307","MISSION DE REGULATION ET D’APPROVISIONNEMENT DES PRODUITS DE GRANDE  CONSOMMATION","MIRAP","Government & public sector","Cameroun","Cyprien BAMZOK NTOL",""
"308","NATIONAL SCHOOL OF LOCAL ADMINISTRATION","NASLA","Government & public sector","Cameroun","TANYITIKU ENOHACHUO BAYEE",""
"309","OFFICE NATIONAL ET DU CACAO ET DU CAFE","ONCC","Private Equity","Cameroun","Michael NDOPING",""
"310","SOCIETE D’EXPLOITATION ET D’EXPANSION DU RIZ DE YAGOUA","SEMRY","Miscellaneous","Cameroun","FISSOU KOUMA",""
"311","SOCIETE IMMOBILIERE DU CAMEROUN","SIC","Government & public sector","Cameroun","Ahmadou SARDOUNA",""
"312","SOCIETE NATIONALE D’INVESTISSEMENT","SNI","Government & public sector","Cameroun","Aissatou YAOU",""
"313","SOUTH WEST DEVELOPMENT AUTHORITHY","SOWEDA","Miscellaneous","Cameroun","BESONG NTUI OGORK",""
"314","ECOLE NATIONALE SUPERIEURE DES POSTES, DES TELECOMMUNICATIONS ET DES  TECHNOLOGIES DE L’INFORMATION ET DE LA COMMUNICATION","SUP'PTIC","Government & public sector","Cameroun","Félix WATCHING",""
"315","ECOLE NATIONALE SUPERIEURE DES POSTES, DES TELECOMMUNICATIONS ET DES  TECHNOLOGIES DE L’INFORMATION ET DE LA COMMUNICATION","SUP'PTIC","Government & public sector","Cameroun","Félix WATCHING",""
"316","UPPER NOUN DEVELOPMENT VALLEY AUTHORITHY","UNDVA","Miscellaneous","Cameroun","CHIN WIRNKAR Richard",""
"317","UNITE DE TRAITEMENTS AGRICOLES PAR VOIE AERIENNE","UTAVA","Government & public sector","Cameroun","Mathieu NGAÏ",""
"318","OFFICE CEREALIER","OC","Miscellaneous","Cameroun","MOHAMADOU GASSIMOU",""
"319","OFFICE NATIONAL DES ANCIENS COMBATTANTS","ONAC","Miscellaneous","Cameroun","Alfred FULLER",""
"320","OBSERVATOIRE NATIONAL SUR LES CHANGEMENTS CLIMATIQUES","ONACC","Climate change/Water","Cameroun","Joseph AMOUGOU ARMATHE",""
"321","INSTITUT DE RECHERCHES AGRICOLES POUR LE DEVELOPPEMENT","IRAD","Government & public sector","Cameroun","",""
"322","ACADEMIE NATIONAL DE FOOTBALL","ANAFOOT","Government & public sector","N/A","",""
"323","AGENCE DE PROMOTION DES PETITES ET MOYENNES ENTREPRISES","APME","Government & public sector","Cameroun","",""
"324","AUTORITE PORTUAIRE NATIONAL","APN","Government & public sector","Cameroun","",""
"325","BUREAU CENTRAL DES RECENSEMENTS DE LA POPULATION","BUCREP","Government & public sector","Cameroun","",""
"326","CAISSE DE DEVELOPPEMENT DE L'ELEVAGE DU NORD","CDEN","Government & public sector","Cameroun","",""
"327","CAISSE DE DEVELOPPEMENT DE LA PECHE MARITIME","CDPM","Government & public sector","Cameroun","",""
"328","CENTRE NATIONAL D'ETUDE ET D'EXPERIMENTATION DU MACHINISME AGRICOLE","CENEEMA","Government & public sector","Cameroun","",""
"329","CENTRE NATIONAL DE REHABILITATION DES PERSONNES HANDICAPEES PAUL EMILE LEGER","CNRPH","Government & public sector","Cameroun","",""
"330","COMMISSION NATIONAL ANTI-CORRUPTION","CONAC","Government & public sector","Cameroun","",""
"331","IMPRIMERIE NATIONAL","IN","Government & public sector","Cameroun","",""
"332","INSTITUT DE RECHERCHE GEOLOGIQUE ET MINIERE","IRGM","Government & public sector","Cameroun","",""
"333","LABORATOIRE NATIONAL D'ANALYSE ET DE CONTROLE DE LA QUALITE DES MEDICAMENTS","LANACOME","Government & public sector","Cameroun","",""
"334","LIMBE NAUTICAL ARTS AND FISHERIES INSTITUTE","LINAFI","Government & public sector","Cameroun","",""
"335","MISSION DE DEVELOPPEMENT DU NORD OUEST","MIDENO","Government & public sector","Cameroun","",""
"336","MISSION DE REGULATION ET D'APPROVISIONNEMENT DES PRODUITS DE GRANDE CONSOMMATION","MIRAP","Government & public sector","Cameroun","",""
"337","PALAIS DES CONGRES","","Government & public sector","Cameroun","",""
"338","AGENCE NATIONAL DES TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION","ANTIC","Government & public sector","Cameroun","",""
"339","MISSION D'AMENAGEMENT ET DE GRSTION DES ZONES INDUSTRIELLES","MAGZI","Government & public sector","Cameroun","",""
"340","SOCIETE DE RECOUVREMENT DES CREANCES DU CAMEROUN","SRC","Government & public sector","Cameroun","",""
"341","THE BRIDGE INTERNATIONAL SCHOOL","TBIS","Miscellaneous","Cameroun","",""
"342","COLLEGE BILINGUE LAVAL","","Miscellaneous","Cameroun","",""
"343","COLLEGE LA CONQUETE","","Miscellaneous","Cameroun","",""
"344","COLLEGE LIBERMAN","","Miscellaneous","Cameroun","",""
"345","COLLEGE DE LA SALLE","","Miscellaneous","Cameroun","",""
"346","ROUSSEAU INTERNATIONAL SCHOOL","RIS","Miscellaneous","Cameroun","",""
"347","ENKO BONANJO INTERNATIONAL SCHOOL","","Miscellaneous","Cameroun","",""
"348","BRITISH ISLES INTERNATIONAL SCHOOL","BIIS","Miscellaneous","Cameroun","",""
"349","AMERICAN SCHOOL OF DOUALA","ASD","Miscellaneous","Cameroun","",""
"350","FERRERO CAMEROUN SA","","Industrial manufacturing","Cameroun","",""
"351","FIMEX INTERNATIONAL","","Miscellaneous","Cameroun","",""
"352","YOOMEE MOBILE SA","","Technology, media & telecommunications","Cameroun","",""
"353","EASY LIFE","","Miscellaneous","Cameroun","",""
"354","FINEX","","Transport & leisure","Cameroun","",""
"355","SAKER","","Consumer markets","Cameroun","",""
"356","CCMM SA","","Transport & leisure","Cameroun","",""
"357","SCHLUMBERGER CAMEROUN","","Energy and Oil & Gas","N/A","",""
"358","OLAM CAM SARL","","Industrial manufacturing","Cameroun","",""
"359","SCI LES TROPIQUES","","Hôtellerie","Cameroun","",""
"360","ENEM","","Industrial manufacturing","Cameroun","",""
"361","ESTIA SYNERGIE CAMEROUN","","ENR - Power & Utilities","Cameroun","",""
"362","EMPLOI SERVICE SA","","Miscellaneous","Cameroun","",""
"363","EMPLOI SERVICE INTERIM","","Miscellaneous","Cameroun","",""
"364","EMRALD SECURITIES SERVICES CAPITAL","","Bank","Cameroun","",""
"365","EMRALD SECURITIES SERVICES MGT","","Bank","Cameroun","",""
"366","PRUDENTIAL BENEFICIAL","BP","Bank","Cameroun","",""
"367","KADY LESSIVAGE SA","","Miscellaneous","Cameroun","",""
"368","NESTLE CAMEROUN","","Industrial manufacturing","Cameroun","",""
"369","APAVE CAMEROUN","","Miscellaneous","Cameroun","",""
"370","CAPI CAMEROUN SA","","Miscellaneous","Cameroun","",""
"371","SOCIETE CAMEROUNAISE DES CHEMIN DE FER","SCCF SA","Miscellaneous","Cameroun","",""
"372","SOCIETE CAMEROUNAISE DES BOIS DEBITES","SCDB SARL","Industrial manufacturing","Cameroun","",""
"373","SOCIETE CAMEROUNAISE D4EQUIPEMENT INDUSTRIEL","SCEI SARL","Miscellaneous","Cameroun","",""
"374","SOCIETE CAMEROUNAISE DE MEDECINE","SOCAMED","Miscellaneous","Cameroun","",""
"375","SOCIETE CAMEROUNAISE DE TRANSFORMATION DE BLE","SCTB SA","Industrial manufacturing","Cameroun","",""
"376","ETUDE Me SANDRINE MONGUE","","Miscellaneous","Cameroun","",""
"377","ETUDE Me BETCHEM NOTAIRE","","Miscellaneous","Cameroun","",""
"378","BEKO CAPITAL ADVISORY","","Bank","Cameroun","",""
"379","SOGOTRANS SA","","Transport & leisure","Cameroun","",""
"380","AREA ASSURANCES","","Insurance","Cameroun","",""
"381","ASCESE","","Miscellaneous","Cameroun","",""
"382","OLEA CAMEROUN","","Insurance","Cameroun","",""
"383","OLA ENERGY CAMEROON","","Energy and Oil & Gas","Cameroun","",""
"384","MULTISERVICES SARL","","Miscellaneous","Cameroun","",""
"385","WIRE CAMEROUN","","Energy and Oil & Gas","Cameroun","",""
"386","OMEGA CAMEROUN","","Transport & leisure","Cameroun","",""
"387","MULTITECH","","Miscellaneous","Cameroun","",""
"388","AFRICA SECURITY CAMEROON SARL","ASC","Miscellaneous","Cameroun","",""
"389","LANA BIO COSMETICS","","Miscellaneous","Cameroun","",""
"390","UNION CAMEROUNAISE DES BRASSERIES","UCB","Industrial manufacturing","Cameroun","",""
"391","COMPLEXE CHIMIQUE CAMEROUNAIS","CCC","Industrial manufacturing","Cameroun","",""
"392","DOUALA PORT WEIGHING SERVICES","DPWS","Miscellaneous","Cameroun","",""
"393","GEODIS PROJECTS CAMEROON","GPCAM","Transport & leisure","Cameroun","",""
"394","SOCIETE D'APPROVISIONNEMENT ET DE MAINTENANCE INDUSTRIELLE","SAMIN SA","Energy and Oil & Gas","Cameroun","",""
"395","SOCIETE CAMEROUNAISE DE COMMERCE ET DE REPRESENTATION INDUSTRIELLE","CAMCI","Miscellaneous","Cameroun","",""
"396","OMOA CAMEROUN SA","","Bank","Cameroun","",""
"397","DEE-LITE SARL","","Miscellaneous","Cameroun","",""
"398","LCI ORCA CAMEROUN","","Miscellaneous","Cameroun","",""
"399","SOCIETE ELECTROMECANIQUE & ASCENCEURS","SEA SARL","Industrial manufacturing","Cameroun","",""
"400","ONYX MANPOWER SERVICES CAMEROUN","","Miscellaneous","Cameroun","",""
"401","ACCENT MEDIA SA","","Miscellaneous","Cameroun","",""
"402","complexe métallurgique du Cameroun","CMC SA","Other industry","Cameroun","",""
"403","SAFCAM SA","SAFCAM SA","Consumer markets","Cameroun","",""
"404","PANZANI CAMEROUN","PANZANI","Fast Moving Consumer Goods","Cameroun","",""
"405","SOCIETE DE TRANSFORMATION DU BLE DU CAMEROUN","SITRABCAM","Other industry","Cameroun","",""
"406","CICAM SA","CICAM SA","Other industry","Cameroun","",""
"407","SOCIETE DES TRANSFORMATIONS INDUSTRIELLES DU CAMEROUN","SOTICAM","Other industry","Cameroun","",""
"408","TOLES ET ACIERS DU CAMEROUN","TAC SARL","Other industry","Cameroun","",""
"409","SOPROICAM","SOPROICAM","Other industry","Cameroun","",""
"410","CFAO","CFAO","Consumer markets","Cameroun","",""
"411","AMAL SIMI","AMAL SIMI","Other industry","Cameroun","",""
"412","METCH ELEC","METCH ELEC","Technology, media & telecommunications","Cameroun","",""
"413","INSTITUT DE LA FRANCOPHONIE POUR LE DEVELOPPEMENT DURABLE","IFDD","Project & NGO","Cameroun","Cécile Martin-Phipps",""
"414","GHANA REINSURANCE PLC","GRC","Insurance","Cameroun","",""
"415","BRUSSELS AIRLINES","","Miscellaneous","Cameroun","",""
"416","ETHIOPIAN AIRLINES","","Miscellaneous","Cameroun","",""
"417","NED'CAM","","Miscellaneous","Cameroun","",""
"418","SCHNEIDER ELECTRIC","","Miscellaneous","Cameroun","",""
"419","TRADEX S.A","","Energy and Oil & Gas","Cameroun","",""
"420","EGYPTAIR AIRLINES","","Miscellaneous","Cameroun","",""
"421","PRO-PME FINANCEMENT S.A","","Other Financial services","Cameroun","",""
"422","ALLIANZ CAMEROUN","","Insurance","Cameroun","",""
"423","PLANET HOTEL","","Hôtellerie","Cameroun","",""
"424","SEMEM DISTRIBUTOR SARL","","Miscellaneous","Cameroun","",""
"425","BALOON ASSURANCE CAMEROUN","","Insurance","Cameroun","",""
"426","COLOR CERAMICA SARL","","Miscellaneous","Cameroun","",""
"427","MTN CAMEROON LTD","","Technology, media & telecommunications","Cameroun","",""
"428","WAFACASH CAMEROUN","","Bank","Cameroun","",""
"429","CAMEROUNAISE DE CONSTRUCTION DU BARRAGE DE NACHTIGAL S.A.S","CCN S.A.S","Miscellaneous","Cameroun","",""
"430","TOTALENERGIES MARKETING CAMEROUN S.A","TOTALENERG","Energy and Oil & Gas","Cameroun","",""
"431","SYSTEMES ET APPLICATIONS ELECTRONIQUES S.A","SAE S.A","Miscellaneous","Cameroun","",""
"432","SOACAM AGRO INDUSTRIES S.A","SAGRI","Industrial manufacturing","Cameroun","",""
"433","RW KING S.A","RW KING","Miscellaneous","Cameroun","",""
"434","ATTIJARI SECURITIES CENTRAL AFRICA","ASCA","Bank","Cameroun","",""
"435","DHL GLOBAL FORWARDING CAMEROUN PLC","DGF","Miscellaneous","Cameroun","",""
"436","HYDIAM FORAGES","HYDIAM","Miscellaneous","Cameroun","",""
"437","IBI S.A","IBI S.A","Miscellaneous","Cameroun","",""
"438","GREENFIL PLANTATION LTD S.A","GREENFIL","Miscellaneous","Cameroun","",""
"439","AZUR S.A","AZUR","Industrial manufacturing","Cameroun","",""
"440","MAÎTRE ESSONO EPOUSE CHEMOU BLANCHE","Me ESSONO","Miscellaneous","Cameroun","",""
"441","ICM CONSULTING SARL","ICM","Miscellaneous","Cameroun","",""
"442","DIRECTION GENERALE DES DOUANES ET DES DROITS INDIRECTS DU TCHAD","DGDDIT","Government & public sector","Tchad","",""
"443","SCI VESTALIA","SCI VESTAL","Miscellaneous","Cameroun","JEAN ROGER DAVID",""
"444","AIR COTE D'IVOIRE","","Transport & leisure","Cameroun","",""
"445","SIC CACAOS","","Industrial manufacturing","Cameroun","",""
"446","GEODIS PROJECTS CAMEROON S.A.","GEODIS","Transport & leisure","Cameroun","",""
"447","CONGELCAM S.A.","","Consumer markets","Cameroun","",""
"448","GULFIN S & T CO","","Energy and Oil & Gas","Cameroun","",""
"449","ZENITHE INSURANCE","","Insurance","Cameroun","Maxwell NDECHAM",""
"450","CAMEROUN RAILWAYS S.A.","CAMRAIL","Transport & leisure","Cameroun","",""
"451","MEDITERRANEAN SHIPPING COMPANY CAMEROUN","M.S.C","Transport & leisure","Cameroun","",""
"452","SOCIETE D'EXPLOITATION DU PARC A BOIS DU CAMEROUN","SEPBC","Miscellaneous","Cameroun","",""
"453","SOCOPAO CAMEROUN","","Transport & leisure","Cameroun","",""
"454","BOLLORE TRANSPORT ET LOGISTICS CAMEROUN","","Transport & leisure","Cameroun","",""
"455","KRIBI CONTENEUR TERMINAL","","Transport & leisure","Cameroun","",""
"456","KRIBI POWER DEVELOPMENT COMPANY","KPDC","ENR - Power & Utilities","Cameroun","",""
"457","SOA - Soulemanou Haliyou","SOA - SH","Other Financial services","Cameroun","Soulemanou Haliyou",""
"458","SOA-HUNTER SERVICES SARL","HUNTER","Government & public sector","Cameroun","HUNTER SERVICES",""
"459","GUICHET UNIQUE DES OPERATIONS DU COMMERCE EXTERIEUR","GUCE","Miscellaneous","Cameroun","",""
"460","GRAPHICS SYSTEME S.A","","Technology, media & telecommunications","Cameroun","",""
"461","UNION BANK OF CAMEROON S.A","UBC PLC","Bank","Cameroun","",""
"462","UNION DES TRANSACTIONS COMMERCIALES & INDUSTRIELLES","UTRAC S.A","Miscellaneous","Cameroun","",""
"463","HEVEA CAMEROUN S.A","HEVECAM","Industrial manufacturing","Cameroun","",""
"464","GALERIES PEYRISSAC S.A.","","Consumer markets","Cameroun","",""
"465","BLESSING PETROLEUM S.A","","Energy and Oil & Gas","Cameroun","",""
"466","MAHIMA SARL","","Fast Moving Consumer Goods","Cameroun","",""
"467","SOREPCO S.A","","Consumer markets","Cameroun","",""
"468","ADVANS CAMEROUN S.A","","Bank","Cameroun","",""
"469","DAVUM CAMEROUN S.A","DACAM S.A.","Consumer markets","Cameroun","",""
"470","SOCIETE CAMEROUNAISE DE FERRONNERIE S.A","SOCAFER SA","Industrial manufacturing","Cameroun","",""
"471","SOCIETE CAMEROUNAISE DE VERRERIE S.A","SOCAVER SA","Industrial manufacturing","Cameroun","",""
"472","LES LABORATOIRES BIOPHARMA","BIOPHARMA","Industrial manufacturing","Cameroun","",""
"473","LE GLACIER MODERNE S.A","LGM S.A","Fast Moving Consumer Goods","Cameroun","",""
"474","FAYADORT S.A","","Consumer markets","Cameroun","",""
"475","NSIA ASSURANCES CAMEROUN S.A","","Insurance","Cameroun","",""
"476","SOCIETE COMMERCIALE DE BANQUE CAMEROUN S.A","SCBC","Bank","Cameroun","",""
"477","CHANAS ASSURANCES CAMEROUN S.A","","Insurance","Cameroun","",""
"478","ECOBANK CAMEROUN S.A","","Bank","Cameroun","",""
"479","NEPTUNE S.A","","Energy and Oil & Gas","Cameroun","",""
"480","MEDIA PLUS SARL","","Technology, media & telecommunications","Cameroun","",""
"481","EASY RIDE S.A","","Miscellaneous","Cameroun","",""
"482","KALFRELEC S.A","","Miscellaneous","Cameroun","",""
"483","SUNU ASSURANCE VIE CAMEROUN S.A","","Insurance","Cameroun","",""
"484","SUNU ASSURANCE IARD S.A","","Insurance","Cameroun","",""
"485","CAMEROUNAISE DE DISTRIBUTION ALIMENTAIRE S.A","CAMDA SA","Fast Moving Consumer Goods","Cameroun","",""
"486","ELECNOR SUCCURSALE","","N/A","N/A","",""
"487","BOURBON OFFSHORE MARINE SERVICES CAMEROUN","BOMS","Energy and Oil & Gas","Cameroun","Roman DUBOVITSKII",""
"488","HORUS INVESTMENT CAPITAL S.A","HORUS","Other Financial services","Cameroun","Cyrille ONANA",""
"489","TELCAR COCOA LIMITED","TELCAR","Other industry","Cameroun","KANYI-TOMETI FOTSO",""
"490","LOXEA S.A","LOXEA","Miscellaneous","Cameroun","Geoffroy DE MARCELLUS",""
"491","ATLANTIQUE ASSURANCE IARDT-CAMEROUN","ATASSUR","Insurance","Cameroun","NGNIWAKE NORBERT",""
"492","Coopérative d'Epargne et de Crédit des Artisans du Wouri","CECAW","Other Financial services","Cameroun","",""
"493","TRANSMISSION MANUTENTION DU CAMEROUN","","Miscellaneous","Cameroun","",""
"494","PARLYM CAMEROUN","","Miscellaneous","Cameroun","",""
"495","CHANTIER NAVALE ET INDUSTRIEL DU CAMEROUN","CNIC","Transport & leisure","Cameroun","",""
"496","WOOD SENSES","","Industrial manufacturing","Cameroun","",""
"497","Société d'Exploitation Forestière et Commerciale Camerounaise","SEFECCAM","Industrial manufacturing","Cameroun","",""
"498","PAN-AFRICAN SAVINGS LOANS","PASL","Miscellaneous","Cameroun","",""
"499","HARVEST ASSET MANAGEMENT","","Miscellaneous","Cameroun","",""
"500","ORCA","","Consumer markets","Cameroun","",""
"501","AXA ASSURANCES","","Insurance","Cameroun","",""
"502","Société de Routes et de Bâtiments Cameroun","SOROUBAT","Miscellaneous","Cameroun","",""
"503","SOCIETE D'EXPLOITATION FORESTIERE ET AGRICOLE DU CAMEROUN SA","SEFAC S.A.","FORESTIER","Cameroun","",""
"504","SOCIETE AFRICAINE DE FABRICATION DE CAHIERS","SAFCA","Industrial manufacturing","Cameroun","",""
"505","SOCIETE DES CEREALES DE CAMEROUN","SCC","Industrial manufacturing","Cameroun","",""
"506","SOCIETE CAMEROUNAISE DE RAFFINAGE MAYA & CIE","SCR MAYA &","Industrial manufacturing","Cameroun","",""
"507","AFRICA GOLDEN BANK","AGB","Bank","Cameroun","Samuel Foyou",""
"508","DIBAMBA POWER DEVELOPMENT COMPANY SA","DPDC S.A","Energy and Oil & Gas","Cameroun","Frédéric Didier MVONDO",""
"509","OFFICE TOGOLAIS DES RECETTES","OTR","Miscellaneous","N/A","",""
"510","CFAO TECHNOLOGY & ENERGY","CFAO","Technology, media & telecommunications","Cameroun","Laurent DUPUIS",""
"511","AFRICA GLOBAL PORT SOLUTIONS","","Transport & leisure","Cameroun","",""
"512","HOTEL SAWA","","Hôtellerie","Cameroun","",""
"513","BUREAU VERITAS S.A","","Miscellaneous","Cameroun","",""
"514","2NI SARL","","Miscellaneous","Cameroun","",""
"515","AFG CENTRAL & EAST AFRICA","","Other Financial services","Cameroun","",""
"516","SIKA CAMEROUN SARL","","Miscellaneous","Cameroun","",""
"517","SOCIETE AFRICAINE DE SEL SA","SASEL SA","Industrial manufacturing","Cameroun","",""
"518","CITRA S.A.","","Transport & leisure","Cameroun","",""
"519","EDC INVEST CORPORATION","","Other Financial services","Cameroun","",""
"520","LES CIMENTERIES DU CAMEROUN S.A","CIMENCAM","Industrial manufacturing","Cameroun","",""
"521","COMPAGNIES PROFESSIONNELLE D'ASSURANCE","CPA S.A","Insurance","Cameroun","",""
"522","AIPI PIETRO ET FILS CAMEROUN SARL","ALPICAM","FORESTIER","Cameroun","",""
"523","CIMENTS DE L'AFRIQUE CAMEROUN","CIMAF","Industrial manufacturing","Cameroun","",""
"524","NOVIA INDUSTRIES","","Miscellaneous","Cameroun","",""
"525","AFRILAND FIRST BANK","","Bank","Cameroun","",""
"526","BOCOM PETROLEUM S.A","","Energy and Oil & Gas","Cameroun","",""
"527","AREOFEU","","Miscellaneous","Cameroun","",""
"528","ASQUINI ENCORAD","","Miscellaneous","Cameroun","",""
"529","HYGIENE ET SALUBRETE DU CAMEROUN","HYSACAM","Miscellaneous","Cameroun","",""
"530","ESICO","","Transport & leisure","Cameroun","",""
"531","MOULIN DE FRANCE","","Food and Drink","Cameroun","",""
"532","CFAO TECHNOLOGIES S.A","CFAO","Miscellaneous","Cameroun","",""
"533","TAM-TAM SOLEIL","TAM-TAM SO","Other industry","Cameroun","Jean Roger DAVID",""
"534","EB-PARTNERS AUDIT","EBP AUDIT","Miscellaneous","N/A","Samira VINDJEDOU",""
"535","ARNO SA","ARNO SA","Miscellaneous","Cameroun","Jean Jacques ARNOPOULO",""
"536","Mutuelles des inspecteur et officiers des Douanes du Cameroun","MIOD","Miscellaneous","Cameroun","",""
"537","Commission Technique de Rehabilitation","CTR","Miscellaneous","Cameroun","",""
"538","AFRICA FOOD DISTRIBUTION","BROLI","Food and Drink","Cameroun","",""
"539","ARNO S.A.","","Miscellaneous","Cameroun","",""
"540","ATTIJARIWAFA BANK","","Bank","Cameroun","",""
"541","AKWA PALACE","","Hôtellerie","Cameroun","",""
"542","BANGE BANK CAMEROUN","","Bank","Cameroun","",""
"543","CITY BANK OF CAMEROUN","CITI","Bank","Cameroun","",""
"544","AFRIQUE MARITIME ET LOGISTIQUE S.A","AFRIMAR SA","Transport & leisure","Cameroun","",""
"545","McCANN","","Technology, media & telecommunications","Cameroun","",""
"546","SOCIETE LES GRANDS MOULINS DU CAMEROUN","SGMC","Food and Drink","Cameroun","",""
"547","CHASLES CORPORATION SARL","CHASLESCOP","Miscellaneous","Cameroun","",""
"548","SOCIETE CAMEROUNAISE DES GAZ LIQUEFIES DE PETROLE","CAMGAZ","Energy and Oil & Gas","Cameroun","",""
"549","SOLEVO CAMEROUN","","Industrial manufacturing","Cameroun","",""
"550","CFAO MOBILITY CAMEROON","CFAO","Other industry","Cameroun","Denis ZAPPULLA",""
"551","Transformation des produits agricoles et agroalimentaires","TRANSFAGRI","Industrial manufacturing","Cameroun","",""
"552","Ministrère de la Fonction Publique et de la Réforme Administrative","MINFOPRA","Miscellaneous","Cameroun","Ministre",""
"553","CAMEROON CIVIL AVIATION AUTHORITY","CCAA","Government & public sector","Cameroun","Mme AVOMO ASSOUMOU Paule Epse KOKI",""
"554","PROJET D'ASSISTANCE TECHNIQUE POUR LE DÉVELLOPEMENT DE L'HYDROELECTRICITE SUR LE FLEUVE SANAGA","PATDHS","Government & public sector","Cameroun","PODIE LUC",""
